Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList,English (United States),IUCN_Red_List_Category
32346,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Chlorothraupis carmioli carmioli,,,
32347,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Chlorothraupis carmioli magnirostris,,,
32348,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Chlorothraupis carmioli lutescens,,,
32349,species,Passeriformes,Cardinalidae,Cardinals and Allies,Chlorothraupis frenata,Yellow-lored Tanager,Yellow-lored Tanager,LC
32350,species,Passeriformes,Cardinalidae,Cardinals and Allies,Chlorothraupis olivacea,Lemon-spectacled Tanager,Lemon-spectacled Tanager,LC
32351,species,Passeriformes,Cardinalidae,Cardinals and Allies,Chlorothraupis stolzmanni,Ochre-breasted Tanager,Ochre-breasted Tanager,LC
32352,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Chlorothraupis stolzmanni dugandi,,,
32353,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Chlorothraupis stolzmanni stolzmanni,,,
32354,genus,Passeriformes,Cardinalidae,Cardinals and Allies,Periporphyrus,,,
32355,species,Passeriformes,Cardinalidae,Cardinals and Allies,Periporphyrus erythromelas,Red-and-black Grosbeak,Red-and-black Grosbeak,LC
32356,species,Passeriformes,Cardinalidae,Cardinals and Allies,Periporphyrus celaeno,Crimson-collared Grosbeak,Crimson-collared Grosbeak,LC
32357,genus,Passeriformes,Cardinalidae,Cardinals and Allies,Caryothraustes,,,
32358,species,Passeriformes,Cardinalidae,Cardinals and Allies,Caryothraustes poliogaster,Black-faced Grosbeak,Black-faced Grosbeak,LC
32359,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Caryothraustes poliogaster poliogaster,,,
32360,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Caryothraustes poliogaster scapularis,,,
32361,species,Passeriformes,Cardinalidae,Cardinals and Allies,Caryothraustes canadensis,Yellow-green Grosbeak,Yellow-green Grosbeak,LC
32362,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Caryothraustes canadensis simulans,,,
32363,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Caryothraustes canadensis canadensis,,,
32364,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Caryothraustes canadensis frontalis,,,
32365,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Caryothraustes canadensis brasiliensis,,,
32366,genus,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis,,,
32367,species,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis phoeniceus,Vermilion Cardinal,Vermilion Cardinal,LC
32368,species,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis,Northern Cardinal,Northern Cardinal,LC
32369,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis cardinalis,,,
32370,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis floridanus,,,
32371,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis magnirostris,,,
32372,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis canicaudus,,,
32373,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis coccineus,,,
32374,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis littoralis,,,
32375,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis yucatanicus,,,
32376,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis phillipsi,,,
32377,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis flammiger,,,
32378,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis saturatus,,,
32379,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis superbus,,,
32380,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis seftoni,,,
32381,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis igneus,,,
32382,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis clintoni,,,
32383,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis townsendi,,,
32384,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis affinis,,,
32385,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis sinaloensis,,,
32386,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis mariae,,,
32387,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis cardinalis carneus,,,
32388,species,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis sinuatus,Pyrrhuloxia,Pyrrhuloxia,LC
32389,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis sinuatus sinuatus,,,
32390,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis sinuatus fulvescens,,,
32391,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis sinuatus peninsulae,,,
32392,genus,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox,,,
32393,species,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox fuscicauda,Red-throated Ant Tanager,Red-throated Ant-Tanager,LC
32394,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox fuscicauda salvini,,,
32395,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox fuscicauda insularis,,,
32396,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox fuscicauda discolor,,,
32397,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox fuscicauda fuscicauda,,,
32398,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox fuscicauda willisi,,,
32399,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox fuscicauda erythrolaema,,,
32400,species,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox gutturalis,Sooty Ant Tanager,Sooty Ant-Tanager,LC
32401,species,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox atrimaxillaris,Black-cheeked Ant Tanager,Black-cheeked Ant-Tanager,NT
32402,species,Passeriformes,Cardinalidae,Cardinals and Allies,Driophlox cristata,Crested Ant Tanager,Crested Ant-Tanager,LC
32403,genus,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga,,,
32404,species,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga erythrocephala,Red-headed Tanager,Red-headed Tanager,LC
32405,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga erythrocephala candida,,,
32406,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga erythrocephala erythrocephala,,,
32407,species,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga rubriceps,Red-hooded Tanager,Red-hooded Tanager,LC
32408,species,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga leucoptera,White-winged Tanager,White-winged Tanager,LC
32409,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga leucoptera leucoptera,,,
32410,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga leucoptera latifasciata,,,
32411,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga leucoptera venezuelae,,,
32412,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga leucoptera ardens,,,
32413,species,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga roseogularis,Rose-throated Tanager,Rose-throated Tanager,LC
32414,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga roseogularis roseogularis,,,
32415,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga roseogularis tincta,,,
32416,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga roseogularis cozumelae,,,
32417,species,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga rubra,Summer Tanager,Summer Tanager,LC
32418,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga rubra cooperi,,,
32419,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga rubra rubra,,,
32420,species,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava,Hepatic Tanager,Hepatic Tanager,NE
32421,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava testacea,,,
32422,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava lutea,,,
32423,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava desidiosa,,,
32424,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava toddi,,,
32425,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava faceta,,,
32426,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava haemalea,,,
32427,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava flava,,,
32428,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava macconnelli,,,
32429,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava saira,,,
32430,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava rosacea,,,
32431,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava hepatica,,,
32432,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava dextra,,,
32433,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava figlina,,,
32434,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava albifacies,,,
32435,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga flava savannarum,,,
32436,species,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga olivacea,Scarlet Tanager,Scarlet Tanager,LC
32437,species,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga ludoviciana,Western Tanager,Western Tanager,LC
32438,species,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga bidentata,Flame-colored Tanager,Flame-colored Tanager,LC
32439,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga bidentata bidentata,,,
32440,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga bidentata flammea,,,
32441,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga bidentata sanguinolenta,,,
32442,subspecies,Passeriformes,Cardinalidae,Cardinals and Allies,Piranga bidentata citrea,,,
32443,family,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Mitrospingidae,,,
32444,genus,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Orthogonys,,,
32445,species,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Orthogonys chloricterus,Olive-green Tanager,Olive-green Tanager,LC
32446,genus,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Lamprospiza,,,
32447,species,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Lamprospiza melanoleuca,Red-billed Pied Tanager,Red-billed Pied Tanager,LC
32448,genus,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Mitrospingus,,,
32449,species,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Mitrospingus cassinii,Dusky-faced Tanager,Dusky-faced Tanager,LC
32450,subspecies,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Mitrospingus cassinii costaricensis,,,
32451,subspecies,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Mitrospingus cassinii cassinii,,,
32452,species,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Mitrospingus oleagineus,Olive-backed Tanager,Olive-backed Tanager,LC
32453,subspecies,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Mitrospingus oleagineus obscuripectus,,,
32454,subspecies,Passeriformes,Mitrospingidae,Mitrospingid Tanagers,Mitrospingus oleagineus oleagineus,,,
32455,family,Passeriformes,Thraupidae,Tanagers and Allies,Thraupidae,,,
32456,genus,Passeriformes,Thraupidae,Tanagers and Allies,Orchesticus,,,
32457,species,Passeriformes,Thraupidae,Tanagers and Allies,Orchesticus abeillei,Brown Tanager,Brown Tanager,NT
32458,genus,Passeriformes,Thraupidae,Tanagers and Allies,Parkerthraustes,,,
32459,species,Passeriformes,Thraupidae,Tanagers and Allies,Parkerthraustes humeralis,Yellow-shouldered Grosbeak,Yellow-shouldered Grosbeak,LC
32460,genus,Passeriformes,Thraupidae,Tanagers and Allies,Sericossypha,,,
32461,species,Passeriformes,Thraupidae,Tanagers and Allies,Sericossypha albocristata,White-capped Tanager,White-capped Tanager,VU
32462,genus,Passeriformes,Thraupidae,Tanagers and Allies,Compsothraupis,,,
32463,species,Passeriformes,Thraupidae,Tanagers and Allies,Compsothraupis loricata,Scarlet-throated Tanager,Scarlet-throated Tanager,LC
32464,genus,Passeriformes,Thraupidae,Tanagers and Allies,Cyanicterus,,,
32465,species,Passeriformes,Thraupidae,Tanagers and Allies,Cyanicterus cyanicterus,Blue-backed Tanager,Blue-backed Tanager,LC
32466,genus,Passeriformes,Thraupidae,Tanagers and Allies,Nemosia,,,
32467,species,Passeriformes,Thraupidae,Tanagers and Allies,Nemosia rourei,Cherry-throated Tanager,Cherry-throated Tanager,CR
32468,species,Passeriformes,Thraupidae,Tanagers and Allies,Nemosia pileata,Hooded Tanager,Hooded Tanager,LC
32469,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Nemosia pileata hypoleuca,,,
32470,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Nemosia pileata surinamensis,,,
32471,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Nemosia pileata pileata,,,
32472,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Nemosia pileata interna,,,
32473,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Nemosia pileata nana,,,
32474,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Nemosia pileata caerulea,,,
32475,genus,Passeriformes,Thraupidae,Tanagers and Allies,Tersina,,,
32476,species,Passeriformes,Thraupidae,Tanagers and Allies,Tersina viridis,Swallow Tanager,Swallow Tanager,LC
32477,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Tersina viridis grisescens,,,
32478,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Tersina viridis occidentalis,,,
32479,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Tersina viridis viridis,,,
32480,genus,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes,,,
32481,species,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes nitidus,Short-billed Honeycreeper,Short-billed Honeycreeper,LC
32482,species,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes lucidus,Shining Honeycreeper,Shining Honeycreeper,LC
32483,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes lucidus lucidus,,,
32484,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes lucidus isthmicus,,,
32485,species,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes caeruleus,Purple Honeycreeper,Purple Honeycreeper,LC
32486,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes caeruleus chocoanus,,,
32487,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes caeruleus caeruleus,,,
32488,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes caeruleus hellmayri,,,
32489,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes caeruleus longirostris,,,
32490,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes caeruleus microrhynchus,,,
32491,species,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus,Red-legged Honeycreeper,Red-legged Honeycreeper,LC
32492,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus carneipes,,,
32493,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus pacificus,,,
32494,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus gigas,,,
32495,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus gemmeus,,,
32496,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus eximius,,,
32497,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus tobagensis,,,
32498,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus cyaneus,,,
32499,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus dispar,,,
32500,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus violaceus,,,
32501,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus brevipes,,,
32502,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Cyanerpes cyaneus holti,,,
32503,genus,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis,,,
32504,species,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis albiventris,White-bellied Dacnis,White-bellied Dacnis,LC
32505,species,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis lineata,Black-faced Dacnis,,NE
32506,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis lineata lineata,,,
32507,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis lineata egregia,,,
32508,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis lineata aequatorialis,,,
32509,species,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis flaviventer,Yellow-bellied Dacnis,Yellow-bellied Dacnis,LC
32510,species,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis hartlaubi,Turquoise Dacnis,Turquoise Dacnis,NT
32511,species,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis nigripes,Black-legged Dacnis,Black-legged Dacnis,NT
32512,species,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis venusta,Scarlet-thighed Dacnis,Scarlet-thighed Dacnis,LC
32513,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis venusta venusta,,,
32514,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis venusta fuliginata,,,
32515,species,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis cayana,Blue Dacnis,Blue Dacnis,LC
32516,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis cayana callaina,,,
32517,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis cayana ultramarina,,,
32518,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis cayana napaea,,,
32519,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis cayana baudoana,,,
32520,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis cayana caerebicolor,,,
32521,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis cayana cayana,,,
32522,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis cayana glaucogularis,,,
32523,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis cayana paraguayensis,,,
32524,species,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis viguieri,Viridian Dacnis,Viridian Dacnis,LC
32525,species,Passeriformes,Thraupidae,Tanagers and Allies,Dacnis berlepschi,Scarlet-breasted Dacnis,Scarlet-breasted Dacnis,LC
32526,genus,Passeriformes,Thraupidae,Tanagers and Allies,Iridophanes,,,
32527,species,Passeriformes,Thraupidae,Tanagers and Allies,Iridophanes pulcherrimus,Golden-collared Honeycreeper,Golden-collared Honeycreeper,LC
32528,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Iridophanes pulcherrimus pulcherrimus,,,
32529,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Iridophanes pulcherrimus aureinucha,,,
32530,genus,Passeriformes,Thraupidae,Tanagers and Allies,Chlorophanes,,,
32531,species,Passeriformes,Thraupidae,Tanagers and Allies,Chlorophanes spiza,Green Honeycreeper,Green Honeycreeper,LC
32532,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chlorophanes spiza guatemalensis,,,
32533,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chlorophanes spiza argutus,,,
32534,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chlorophanes spiza exsul,,,
32535,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chlorophanes spiza subtropicalis,,,
32536,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chlorophanes spiza spiza,,,
32537,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chlorophanes spiza caerulescens,,,
32538,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chlorophanes spiza axillaris,,,
32539,genus,Passeriformes,Thraupidae,Tanagers and Allies,Heterospingus,,,
32540,species,Passeriformes,Thraupidae,Tanagers and Allies,Heterospingus rubrifrons,Sulphur-rumped Tanager,Sulphur-rumped Tanager,LC
32541,species,Passeriformes,Thraupidae,Tanagers and Allies,Heterospingus xanthopygius,Scarlet-browed Tanager,Scarlet-browed Tanager,LC
32542,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Heterospingus xanthopygius xanthopygius,,,
32543,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Heterospingus xanthopygius berliozi,,,
32544,genus,Passeriformes,Thraupidae,Tanagers and Allies,Chrysothlypis,,,
32545,species,Passeriformes,Thraupidae,Tanagers and Allies,Chrysothlypis salmoni,Scarlet-and-white Tanager,Scarlet-and-white Tanager,LC
32546,species,Passeriformes,Thraupidae,Tanagers and Allies,Chrysothlypis chrysomelas,Black-and-yellow Tanager,Black-and-yellow Tanager,LC
32547,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chrysothlypis chrysomelas titanota,,,
32548,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chrysothlypis chrysomelas chrysomelas,,,
32549,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Chrysothlypis chrysomelas ocularis,,,
32550,genus,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis,,,
32551,species,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis guira,Guira Tanager,Guira Tanager,LC
32552,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis guira nigrigula,,,
32553,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis guira roraimae,,,
32554,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis guira guirina,,,
32555,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis guira huambina,,,
32556,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis guira boliviana,,,
32557,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis guira amazonica,,,
32558,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis guira guira,,,
32559,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis guira fosteri,,,
32560,species,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis ruficapilla,Rufous-headed Tanager,Rufous-headed Tanager,LC
32561,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis ruficapilla bahiae,,,
32562,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis ruficapilla ruficapilla,,,
32563,species,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis,Yellow-backed Tanager,Yellow-backed Tanager,LC
32564,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis ornata,,,
32565,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis albigularis,,,
32566,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis peruana,,,
32567,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis sororia,,,
32568,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis centralis,,,
32569,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis aurigularis,,,
32570,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis hellmayri,,,
32571,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis flavicollis,,,
32572,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis obidensis,,,
32573,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis melanoxantha,,,
32574,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Hemithraupis flavicollis insignis,,,
32575,genus,Passeriformes,Thraupidae,Tanagers and Allies,Creurgops,,,
32576,species,Passeriformes,Thraupidae,Tanagers and Allies,Creurgops verticalis,Rufous-crested Tanager,Rufous-crested Tanager,LC
32577,species,Passeriformes,Thraupidae,Tanagers and Allies,Creurgops dentatus,Slaty Tanager,Slaty Tanager,LC
32578,genus,Passeriformes,Thraupidae,Tanagers and Allies,Volatinia,,,
32579,species,Passeriformes,Thraupidae,Tanagers and Allies,Volatinia jacarina,Blue-black Grassquit,Blue-black Grassquit,LC
32580,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Volatinia jacarina splendens,,,
32581,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Volatinia jacarina jacarina,,,
32582,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Volatinia jacarina peruviensis,,,
32583,genus,Passeriformes,Thraupidae,Tanagers and Allies,Conothraupis,,,
32584,species,Passeriformes,Thraupidae,Tanagers and Allies,Conothraupis speculigera,Black-and-white Tanager,Black-and-white Tanager,LC
32585,species,Passeriformes,Thraupidae,Tanagers and Allies,Conothraupis mesoleuca,Cone-billed Tanager,Cone-billed Tanager,EN
32586,genus,Passeriformes,Thraupidae,Tanagers and Allies,Eucometis,,,
32587,species,Passeriformes,Thraupidae,Tanagers and Allies,Eucometis penicillata,Grey-headed Tanager,Gray-headed Tanager,LC
32588,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Eucometis penicillata pallida,,,
32589,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Eucometis penicillata spodocephalus,,,
32590,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Eucometis penicillata stictothorax,,,
32591,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Eucometis penicillata cristata,,,
32592,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Eucometis penicillata affinis,,,
32593,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Eucometis penicillata penicillata,,,
32594,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Eucometis penicillata albicollis,,,
32595,genus,Passeriformes,Thraupidae,Tanagers and Allies,Heliothraupis,,,
32596,species,Passeriformes,Thraupidae,Tanagers and Allies,Heliothraupis oneilli,Inti Tanager,Inti Tanager,LC
32597,genus,Passeriformes,Thraupidae,Tanagers and Allies,Trichothraupis,,,
32598,species,Passeriformes,Thraupidae,Tanagers and Allies,Trichothraupis melanops,Black-goggled Tanager,Black-goggled Tanager,LC
32599,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Trichothraupis melanops melanops,,,
32600,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Trichothraupis melanops griseonota,,,
32601,genus,Passeriformes,Thraupidae,Tanagers and Allies,Loriotus,,,
32602,species,Passeriformes,Thraupidae,Tanagers and Allies,Loriotus cristatus,Flame-crested Tanager,Flame-crested Tanager,NE
32603,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Loriotus cristatus cristatus,,,
32604,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Loriotus cristatus intercedens,,,
32605,subspecies,Passeriformes,Thraupidae,Tanagers and Allies,Loriotus cristatus orinocensis,,,
